ID,Date,SalePrice,PropertyID,PropertyType,Bedrooms,Bathrooms,SqFtTotLiving,SqFtLot,YrBuilt
7942,8/30/06,438500,2558700240,Single Family,4,2.75,2550,7350,1978
7943,11/20/06,499950,2558710020,Single Family,5,2.5,1950,7280,1977
7944,1/5/07,600000,2558730030,Single Family,4,2.25,2170,6556,1982
7945,8/25/06,425000,2558740070,Single Family,3,2.5,1510,7146,1989
7946,12/19/13,875000,2559950110,Townhouse,2,2.5,2470,609,2011
7947,2/21/06,254950,2560800265,Single Family,3,2,1160,5000,1988
7948,1/29/08,237500,2560800625,Single Family,2,1,900,5000,1930
7949,9/24/06,295000,2560801080,Single Family,3,1.75,1250,6500,1967
7950,12/9/06,292000,2560801361,Single Family,3,1.75,1200,6350,1967
7951,8/4/08,332500,2560805175,Single Family,3,1.75,1520,8063,1979
7952,5/2/06,289950,2560805440,Single Family,3,1.75,1250,5375,1985
7953,10/26/06,439500,2561330040,Single Family,3,2.25,1820,9694,1977
7954,1/30/07,365000,2561390040,Single Family,4,1.5,1460,10488,1974
7955,9/5/12,290000,2564000100,Single Family,3,2.5,2280,34425,1987
7956,5/2/06,370000,2564900280,Single Family,3,2.25,1400,7630,1983
7957,2/28/06,482000,2564900410,Single Family,4,2.25,1600,7600,1981
7958,8/23/06,1250000,2566300005,Single Family,5,5.5,5936,15756,2014
7959,7/26/06,752990,2568200020,Single Family,4,2.75,3150,7908,2006
7960,8/7/06,852990,2568200070,Single Family,4,2.5,3650,7784,2006
7961,9/1/06,937990,2568200080,Single Family,5,3.5,3850,9726,2006
7962,5/30/06,754955,2568200110,Single Family,4,2.75,3150,6465,2005
7963,4/5/06,650000,2568200120,Single Family,5,2.75,2870,6593,2006
7964,4/15/10,634000,2568200120,Single Family,5,2.75,2870,6593,2006
7965,2/19/14,700000,2568200120,Single Family,5,2.75,2870,6593,2006
7966,5/1/06,628411,2568200130,Single Family,5,2.75,2830,5310,2006
7967,3/1/06,671332,2568200140,Single Family,5,2.5,2980,5377,2006
7968,8/9/06,752990,2568200150,Single Family,4,2.75,3150,7882,2006
7969,12/14/06,795990,2568200170,Single Family,5,2.75,3220,5934,2006
7970,3/16/07,761990,2568200190,Single Family,4,2.5,3100,6564,2006
7971,12/22/06,697000,2568200220,Single Family,5,2.75,2990,5191,2006
7972,8/28/06,779990,2568200240,Single Family,4,2.75,3150,6701,2006
7973,11/13/06,724990,2568200250,Single Family,4,2.5,2630,6971,2006
7974,9/7/06,787990,2568200260,Single Family,4,2.5,3100,6840,2006
7975,9/6/06,755990,2568200270,Single Family,5,2.75,3220,8096,2006
7976,8/8/06,847990,2568200280,Single Family,4,2.5,3530,7189,2006
7977,6/26/06,730990,2568200290,Single Family,4,2.5,3150,5979,2005
7978,7/13/06,739990,2568200300,Single Family,5,2.75,3220,6683,2006
7979,5/15/06,675000,2568200320,Single Family,3,2.5,2690,6595,2006
7980,3/28/06,855990,2568200330,Single Family,4,3.25,4010,7612,2006
7981,5/9/06,802790,2568200350,Single Family,4,2.5,3530,7056,2006
7982,5/22/06,720990,2568200390,Single Family,4,2.5,3150,6104,2006
7983,2/22/06,720990,2568200550,Single Family,4,2.75,3150,5905,2006
7984,3/13/06,632990,2568200590,Single Family,4,2.5,2780,5306,2005
7985,3/15/06,659990,2568200610,Single Family,5,2.75,2860,5280,2006
7986,6/8/07,850000,2568200630,Single Family,4,2.5,3150,6710,2006
7987,4/10/07,769950,2568200640,Single Family,4,3,2880,5508,2005
7988,7/18/07,750000,2568200730,Single Family,4,2.5,2970,5121,2005
7989,2/21/06,799950,2568200830,Single Family,4,2.5,3150,5962,2005
7990,6/25/14,305000,2568300045,Single Family,6,2,1900,8240,1964
7991,2/3/06,400217,2568300048,Single Family,3,2,1640,7250,1926
7992,7/7/06,480000,2568300132,Single Family,3,2,1870,5455,1926
7993,11/12/09,455000,2568300132,Single Family,3,2,1870,5455,1926
7994,1/4/06,440000,2568300266,Single Family,4,2.5,3190,11375,1946
7995,12/22/06,460000,2568300266,Single Family,4,2.5,3190,11375,1946
7996,12/28/07,675000,2568300266,Single Family,4,2.5,3190,11375,1946
7997,7/15/09,375000,2568800101,Single Family,3,1.75,1270,8974,1950
7998,8/11/08,780000,2568800247,Single Family,4,2.75,3230,7256,2005
7999,9/7/06,380000,2568800290,Single Family,3,1,1180,8400,1951
8000,2/20/07,282000,2569600140,Single Family,3,2,1490,7592,1961
8001,9/6/06,288500,2569600150,Single Family,3,1,1250,7592,1961
8002,11/18/08,305000,2569900005,Single Family,3,1,1750,11600,1951
8003,12/18/06,345000,2570300030,Single Family,3,1.5,2090,9600,1963
8004,6/6/07,414500,2570300140,Single Family,3,1.5,1460,17275,1967
8005,7/10/07,429500,2570300190,Single Family,5,1.5,1710,9976,1963
8006,5/15/06,391000,2570500200,Single Family,5,2.25,2220,9450,1962
8007,9/1/10,305000,2570500270,Single Family,4,1.75,2040,9370,1962
8008,1/28/15,196000,2570600140,Single Family,3,2.25,1510,9600,1966
8009,5/25/07,355000,2571900500,Single Family,3,2,1910,12070,1990
8010,6/3/08,323000,2571910040,Single Family,3,2.5,2110,8638,1992
8011,5/6/10,263000,2571910280,Single Family,4,2.25,1930,9750,1992
8012,4/15/10,267500,2571910480,Single Family,3,2.25,1720,7800,1992
8013,3/15/06,385000,2571920060,Single Family,3,2.5,2130,8882,1995
8014,2/7/08,342950,2571920100,Single Family,4,2.5,2150,9839,1993
8015,1/20/06,349950,2572400212,Townhouse,2,2.5,1180,1228,2006
8016,11/28/07,399900,2572400243,Townhouse,2,2.5,1710,2058,1999
8017,6/18/07,1265000,2574900080,Single Family,5,3.25,3370,17458,1982
8018,7/30/12,145000,2578400035,Single Family,4,1.75,1740,8700,1951
8019,3/13/08,1280000,2579500181,Single Family,4,3.5,3440,9776,2006
8020,7/11/06,1349000,2579500187,Single Family,4,3.5,3390,14570,1997
8021,5/16/07,900000,2580700035,Single Family,3,1.75,2360,12096,1928
8022,6/7/07,1320000,2581300010,Single Family,4,3.25,3300,15907,1985
8023,6/16/10,600000,2581900036,Single Family,3,1.75,2110,11250,1961
8024,12/1/08,650000,2581900235,Single Family,4,2.75,2580,8100,1964
8025,10/18/10,700000,2581900265,Single Family,3,3.75,2560,6829,1974
8026,5/18/11,710000,2581900284,Single Family,3,2.75,2760,8476,1967
8027,11/5/07,300000,2584400020,Single Family,3,1,1430,9457,1954
8028,11/18/14,135000,2586800140,Single Family,2,1,830,7609,1943
8029,10/22/14,77750,2586800210,Single Family,5,2,2500,7804,1921
8030,3/22/06,172000,2586800295,Single Family,3,1,1170,7667,1914
8031,6/5/07,152500,2586800325,Single Family,4,2.5,2930,7683,2008
8032,1/15/07,375000,2587000060,Single Family,3,2.5,2412,2349,2006
8033,4/18/07,321480,2587000120,Single Family,3,2.5,2466,2876,2007
8034,11/21/06,369950,2587000140,Single Family,3,2.5,2412,2505,2006
8035,5/4/12,230000,2587000140,Single Family,3,2.5,2412,2505,2006
8036,2/16/07,379000,2587000160,Single Family,3,2.5,2466,2899,2006
8037,7/26/07,379000,2587000180,Single Family,3,2.5,2412,2475,2007
8038,11/6/07,350000,2587000210,Single Family,3,2.5,2415,2475,2007
8039,3/20/08,346000,2587000220,Single Family,3,2.5,2466,2739,2007
8040,2/13/07,390000,2587000250,Single Family,3,2.5,2412,2497,2006
8041,1/18/06,636000,2587910210,Single Family,3,2,2110,28575,2004
8042,10/18/10,250000,2589300065,Single Family,3,1.75,1670,5209,1908
8043,4/9/08,698000,2589600080,Single Family,4,3.5,2720,13091,2000
8044,9/18/06,830500,2589600130,Single Family,5,3.5,3730,7290,2000
8045,4/10/06,836000,2589600210,Single Family,5,3.5,3740,8799,2000
8046,8/21/06,484500,2591010040,Single Family,2,1.75,1250,7029,1986
8047,9/11/07,515000,2591010040,Single Family,2,1.75,1250,7029,1986
8048,11/16/06,428500,2591010070,Single Family,2,1.75,1720,9587,1987
8049,5/16/06,385500,2591010180,Townhouse,3,2.5,1530,2913,1986
8050,9/12/08,374500,2591010180,Townhouse,3,2.5,1530,2913,1986
8051,5/8/07,399000,2591010240,Townhouse,2,1.5,1370,4102,1987
8052,4/6/11,195000,2591010290,Townhouse,1,1.5,810,3211,1982
8053,5/28/10,384000,2591020140,Single Family,3,2.5,1460,4961,1988
8054,6/21/06,444000,2591020300,Single Family,3,2.5,1600,8910,1988
8055,6/12/13,490000,2591020360,Single Family,3,2.5,1690,4365,1988
8056,5/12/11,450000,2591020520,Single Family,3,2.25,2430,7969,1987
8057,7/29/09,395000,2591020560,Single Family,3,2.25,1550,5511,1987
8058,10/11/06,640190,2591700030,Single Family,4,2,1800,9919,1952
8059,4/5/07,745000,2591700030,Single Family,4,2,1800,9919,1952
8060,3/13/06,283000,2591730230,Single Family,4,2.5,2040,5770,1994
8061,1/28/08,459000,2591780070,Single Family,5,2.75,3260,9439,2004
8062,11/2/07,327500,2591800200,Single Family,3,1.75,1890,7210,1982
8063,7/10/06,349500,2591800530,Single Family,4,2.25,1880,9163,1981
8064,10/8/09,350000,2591820080,Single Family,4,2.5,2130,10375,1986
8065,10/10/06,439950,2591820240,Single Family,3,2.5,1920,8508,1986
8066,4/11/07,455000,2591830130,Single Family,3,2.5,2200,7350,1988
8067,6/14/07,527000,2591840150,Single Family,4,2.5,3010,8000,1988
8068,2/26/09,704206,2592200060,Single Family,3,2.25,3050,10460,1982
8069,5/12/06,535000,2592200150,Single Family,3,2,2340,9550,1982
8070,8/15/06,795000,2592200330,Single Family,4,2.25,3810,12997,1981
8071,9/27/10,560000,2592200680,Single Family,4,2.25,2750,8536,1980
8072,10/10/06,600000,2592201260,Single Family,3,2.5,3080,9639,1981
8073,8/7/08,685000,2592201290,Single Family,3,2.5,2760,10004,1981
8074,4/16/08,675188,2592210150,Single Family,3,2.5,2290,9158,1984
8075,11/20/06,800000,2592210340,Single Family,3,2.75,4100,12014,1984
8076,8/15/06,850000,2592210470,Single Family,5,3.25,4060,18674,1984
8077,1/13/10,555000,2592210510,Single Family,3,2.5,3120,12406,1983
8078,4/28/08,927000,2592210520,Single Family,4,3.25,3890,12366,1983
8079,4/24/07,885000,2592210890,Single Family,4,3.5,3550,16122,1983
8080,12/19/06,348500,2592300280,Single Family,3,2.25,1680,8765,1986
8081,2/11/15,386500,2592400140,Single Family,3,1.75,1520,7350,1972
8082,8/9/06,429500,2592400370,Single Family,4,1.75,1730,5775,1974
8083,8/30/07,545000,2592400430,Single Family,4,2.5,1990,7344,1974
8084,6/12/06,429000,2592400550,Single Family,4,2.5,1980,6660,1974
8085,2/17/06,300000,2592400860,Single Family,4,2.5,1570,6512,1971
8086,10/11/06,449900,2592400860,Single Family,4,2.5,1570,6512,1971
8087,2/6/06,420000,2592401130,Single Family,3,2,2130,5175,1971
8088,3/9/07,320000,2592401170,Single Family,3,1.75,1370,6300,1970
8089,1/26/07,450000,2593200150,Single Family,4,2.5,1780,8563,1962
8090,5/19/06,850000,2594200225,Single Family,4,2.75,3000,7125,1933
8091,7/31/06,498500,2594200279,Single Family,3,1.75,1530,7680,1975
8092,7/13/06,620000,2594200545,Single Family,5,2,2270,10740,1937
8093,5/30/06,297000,2595300075,Single Family,2,1,1310,8136,1937
8094,7/16/07,660000,2595300080,Single Family,3,1.75,1460,8071,1934
8095,8/21/06,465000,2595300095,Single Family,4,2.25,2050,6900,1953
8096,3/4/13,465000,2595300095,Single Family,4,2.25,2050,6900,1953
8097,12/5/06,645000,2595300235,Single Family,3,2.5,1960,9600,1998
8098,7/7/06,353450,2595600060,Single Family,3,2.5,1940,12150,1982
8099,8/22/06,430000,2595650060,Single Family,4,2.75,2140,9920,1993
8100,9/14/09,310000,2595650150,Single Family,3,2,1720,11360,1993
8101,6/15/09,349500,2595650170,Single Family,4,2.75,2190,14937,1993
8102,2/3/06,379000,2595650210,Single Family,4,2.25,2170,9970,1994
8103,1/2/07,360000,2597150160,Single Family,3,1.75,1730,9928,1980
8104,10/27/12,234500,2597150270,Single Family,4,2.5,1790,10584,1981
8105,6/4/07,500000,2597400100,Single Family,3,2.25,1890,9600,1977
8106,9/26/07,543000,2597400250,Single Family,5,2.5,2970,9800,1977
8107,7/24/13,709990,2597490030,Single Family,4,3.5,3040,4006,2013
8108,12/30/12,625343,2597490140,Single Family,4,3.25,3040,4155,2013
8109,10/10/13,676990,2597490300,Single Family,3,2.5,2350,4975,2012
8110,1/18/13,584194,2597490410,Single Family,3,2.5,2350,3798,2013
8111,7/17/12,415236,2597490660,Single Family,4,2.5,2050,2772,2012
8112,8/6/12,394017,2597490670,Single Family,3,2.5,1800,2772,2012
8113,3/3/13,556990,2597490750,Single Family,4,2.5,2050,2772,2013
8114,8/14/06,358500,2597500200,Single Family,5,2.75,2570,7776,1966
8115,1/5/06,260000,2597500260,Single Family,4,1.75,1770,7776,1966
8116,6/12/07,295950,2597500500,Single Family,4,2.25,1720,7704,1967
8117,4/20/07,350000,2597501140,Single Family,3,1.75,1880,20016,1970
8118,4/16/10,236000,2597501190,Single Family,3,2.25,2080,26574,1993
8119,12/7/06,770000,2597520720,Single Family,5,2.5,2900,9525,1989
8120,1/11/06,745000,2597530060,Single Family,3,2.5,2480,9390,1991
8121,3/15/06,819950,2597530100,Single Family,4,2.5,3380,10348,1991
8122,12/30/09,570000,2597530440,Single Family,3,2,2200,9168,1995
8123,9/28/06,935000,2597530740,Single Family,3,3.25,3690,22859,1991
8124,6/7/06,879950,2597530760,Single Family,5,3.5,3500,10155,1996
8125,3/22/06,681500,2597530790,Single Family,3,2.5,2430,10968,1994
8126,8/11/06,705000,2597531110,Single Family,4,2.5,2750,10159,1991
8127,4/7/08,214800,2597600240,Townhouse,3,1.5,1400,1722,1968
8128,11/28/12,332857,2597610060,Single Family,4,2,1622,8172,2013
8129,10/18/06,699950,2597650190,Single Family,3,2.25,2670,17100,1988
8130,2/2/09,489000,2597650240,Single Family,3,2.25,2030,16200,1984
8131,5/11/10,540500,2597650620,Single Family,3,2.5,2710,15260,1988
8132,1/30/06,755000,2597650680,Single Family,3,2.75,3060,17653,1988
8133,3/30/07,445000,2597660010,Townhouse,2,1.5,1350,1830,2007
8134,3/14/07,430000,2597660050,Townhouse,2,1.5,1050,1450,2007
8135,2/23/07,440000,2597660060,Townhouse,2,1.5,1340,1464,2007
8136,5/15/06,362000,2597670170,Single Family,4,2.5,2150,7392,1987
8137,8/21/07,455000,2597670220,Single Family,6,2.5,2890,7350,1989
8138,12/30/10,221200,2597680180,Single Family,3,2.25,1760,7000,1985
8139,6/6/06,388500,2597690460,Single Family,4,2.25,1840,9100,1986
8140,1/7/13,357500,2597700020,Single Family,4,1.75,1690,7210,1968
8141,5/1/07,806000,2597800148,Single Family,3,2.5,2960,7590,2002
8142,6/15/06,652245,2597800152,Single Family,3,2.5,2160,6331,2002
8143,8/19/08,370000,2597800155,Single Family,3,1,1580,10512,1952
8144,10/9/06,230000,2599000060,Single Family,3,1,1010,15750,1961
8145,12/21/06,246000,2599000360,Single Family,3,1,1090,12075,1962
8146,5/25/07,253100,2599000740,Single Family,3,1,1090,8250,1961
8147,2/23/07,290000,2599000960,Single Family,5,3,2060,8165,1962
8148,3/28/06,241000,2599001070,Single Family,3,1,1330,8165,1962
8149,7/19/10,189000,2599001070,Single Family,3,1,1330,8165,1962
8150,12/19/06,280000,2599001240,Single Family,4,2.5,1720,9600,1961
8151,11/22/06,232000,2599001760,Single Family,3,1.5,1090,8550,1962
8152,10/12/07,331000,2599200460,Single Family,4,2,2930,12840,1965
8153,4/25/06,340000,2599201020,Single Family,3,1.75,1750,8480,1963
8154,10/3/06,229500,2599700080,Single Family,3,1,880,7820,1970
8155,5/2/06,700000,2600000200,Single Family,3,2.25,2420,11114,1977
8156,10/4/06,900000,2600010070,Single Family,3,2.25,3370,11757,1980
8157,5/18/07,774000,2600030090,Single Family,4,2.25,2260,13693,1984
8158,4/24/07,620000,2600040010,Single Family,3,2.25,2030,11770,1987
8159,1/5/06,515000,2600040020,Single Family,3,2.5,1700,9145,1984
8160,7/22/09,435000,2600040130,Single Family,3,2.25,1790,9580,1984
8161,5/15/06,575000,2600100100,Single Family,4,2,2240,8852,1977
8162,10/7/06,559700,2600100280,Single Family,4,2.5,2800,10203,1977
8163,6/26/08,590000,2600100320,Single Family,3,2.75,2870,10454,1977
8164,5/17/10,695000,2600140020,Single Family,4,2,2420,12123,1988
8165,5/15/08,775000,2600140040,Single Family,5,2.75,2780,12433,1988
8166,6/9/06,770000,2600140480,Single Family,4,2.25,2790,9405,1988
8167,2/1/10,687450,2600140500,Single Family,4,2.25,2910,10189,1988
8168,7/22/06,487000,2600200060,Single Family,4,2.5,2370,11068,1986
8169,4/19/07,565000,2600200060,Single Family,4,2.5,2370,11068,1986
8170,8/28/06,514950,2600300105,Single Family,3,1.75,1800,6150,1947
8171,6/29/10,717800,2607700010,Single Family,3,2.5,2370,9469,1947
8172,4/18/06,498000,2607720080,Single Family,3,2.5,2310,9624,1994
8173,10/29/07,550000,2607720300,Single Family,4,2.5,2560,14666,1994
8174,4/14/06,457000,2607720330,Single Family,3,2.5,2370,9614,1994
8175,6/22/07,605500,2607720370,Single Family,4,3.25,3790,15262,1994
8176,3/20/07,529950,2607720380,Single Family,4,2.5,2320,12028,1994
8177,6/23/06,365000,2607720450,Single Family,4,2.5,1950,9834,1994
8178,8/6/12,369000,2607730270,Single Family,4,2.5,2140,10343,1993
8179,5/24/07,485000,2607730440,Single Family,3,2.75,2060,11714,1993
8180,3/13/12,302640,2607730490,Single Family,3,2.25,1840,11403,1993
8181,1/15/09,395000,2607740030,Single Family,3,2.5,1970,9815,1994
8182,7/15/09,410000,2607740040,Single Family,4,2.75,2070,10454,1994
8183,8/8/07,528000,2607760060,Single Family,4,2.75,2000,10258,1995
8184,5/27/09,451000,2607760060,Single Family,4,2.75,2000,10258,1995
8185,4/7/06,500000,2607760080,Single Family,4,2.5,2400,10313,1995
8186,10/10/09,415000,2607760080,Single Family,4,2.5,2400,10313,1995
8187,7/9/07,539000,2607760190,Single Family,4,2.5,2180,9861,1997
8188,6/12/07,562000,2607760340,Single Family,4,2.5,2400,10823,1996
8189,5/16/12,368000,2607760680,Single Family,3,2.5,2040,9622,1995
8190,5/22/09,482000,2607800340,Single Family,4,2.5,2620,8131,1981
8191,1/7/09,619900,2607801120,Single Family,5,2.5,2810,14207,1979
8192,1/2/07,375000,2608300001,Single Family,3,2.25,1580,5761,1990
8193,6/16/06,342000,2608300035,Single Family,3,1,1750,5952,1964
8194,2/17/06,263000,2608300107,Townhouse,3,2,1070,1204,2006
8195,3/16/06,252000,2608300108,Townhouse,2,1.5,1040,765,2006
8196,1/30/07,340000,2610100030,Single Family,5,1.75,1450,7200,1947
8197,5/18/06,390000,2612000200,Single Family,3,2.5,2050,8172,2002
8198,8/13/08,395000,2612000200,Single Family,3,2.5,2050,8172,2002
8199,9/28/11,189000,2616700130,Single Family,3,2.5,1600,7501,1987
8200,5/18/15,192000,2616700220,Single Family,3,1.75,1200,7094,1985
8201,3/8/06,327000,2616700250,Single Family,3,2.5,1640,7500,1987
8202,5/14/09,447450,2616800050,Single Family,4,2.5,2490,34947,1985
8203,3/8/07,649950,2616800070,Single Family,4,2.5,2250,33327,1985
8204,5/8/06,720000,2616800320,Single Family,4,3.5,3000,32204,1986
8205,5/17/12,555000,2616800490,Single Family,4,2.5,4010,36932,1987
8206,3/27/07,325000,2618300080,Single Family,3,1.5,1200,9720,1965
8207,8/11/06,429500,2618300200,Single Family,5,3,3130,11354,1977
8208,11/6/08,254950,2618300360,Single Family,3,1,1030,10875,1963
8209,6/22/06,275000,2618300370,Single Family,3,1,1030,10875,1963
8210,12/8/06,292000,2618300490,Single Family,4,2.25,1780,8393,1957
8211,4/18/06,668000,2619920030,Single Family,4,2.5,3220,4031,2002
8212,4/28/10,627000,2619920070,Single Family,4,2.5,3290,4785,2003
8213,8/9/06,724500,2619920150,Single Family,4,2.5,3220,4479,2004
8214,4/15/10,610000,2619920170,Single Family,4,2.5,3230,4290,2004
8215,10/1/14,772500,2619920170,Single Family,4,2.5,3230,4290,2004
8216,11/9/11,565000,2619920180,Single Family,5,2.5,3190,4469,2004
8217,7/13/11,373822,2619950060,Single Family,5,4,3210,7200,2011
8218,8/3/11,363323,2619950070,Single Family,4,2.5,2750,7200,2011
8219,11/2/11,314062,2619950110,Single Family,3,2.5,2280,6031,2011
8220,1/17/12,309658,2619950130,Single Family,3,2.5,2280,6309,2011
8221,8/25/11,312000,2619950210,Single Family,4,2.5,2280,6348,2011
8222,3/15/10,390450,2619950230,Single Family,4,3,2700,6242,2009
8223,2/2/12,347765,2619950310,Single Family,4,3.5,2730,5707,2011
8224,7/26/12,307039,2619950350,Single Family,3,2.75,2090,8354,2012
8225,6/9/10,364135,2619950400,Single Family,4,2.5,2200,6018,2010
8226,4/14/10,388735,2619950420,Single Family,4,2.5,2760,6009,2009
8227,2/1/11,279995,2619950430,Single Family,3,2.5,2180,6005,2010
8228,3/18/10,409450,2619950440,Single Family,4,2.5,3130,6948,2009
8229,3/4/11,256995,2619950490,Single Family,3,2.25,1530,4580,2011
8230,3/10/11,284995,2619950500,Single Family,3,2.5,2110,4000,2011
8231,4/7/11,249995,2619950510,Single Family,4,2.5,1720,4000,2011
8232,6/14/11,263000,2619950580,Single Family,3,2.5,1850,4105,2011
8233,8/3/11,321073,2619950610,Single Family,4,2.75,2520,6157,2011
8234,5/27/09,360000,2619950670,Single Family,3,2.5,1980,4038,2007
8235,11/18/09,415950,2619950740,Single Family,3,2.5,2260,5100,2007
8236,2/1/11,284995,2619950750,Single Family,3,2.5,2070,5100,2011
8237,11/9/09,205000,2620069143,Single Family,2,1.5,890,6240,1940
8238,6/28/06,460000,2621059011,Single Family,4,3,3357,80210,1932
8239,1/5/07,377750,2621059051,Single Family,4,3.75,2428,29108,1959
8240,7/3/06,374950,2621400100,Single Family,4,2.5,2120,6063,1998
8241,5/24/06,381050,2621420020,Single Family,3,2.5,2010,6545,2000
8242,4/12/06,229000,2621600015,Single Family,3,1,1150,8924,1943
8243,1/21/15,120000,2621600015,Single Family,3,1,1150,8924,1943
8244,6/19/06,535000,2621650070,Single Family,7,4,2920,5250,2003
8245,6/3/08,665000,2621700060,Single Family,4,2.25,2350,35575,1980
8246,3/11/11,541000,2621730220,Single Family,4,2.5,3430,10157,2000
8247,10/3/08,333000,2621750340,Single Family,3,2,1690,9087,1997
8248,10/1/09,368000,2621750350,Single Family,3,2.5,2000,8057,1998
8249,11/10/09,369000,2621750470,Single Family,4,2.5,2530,17433,1997
8250,2/8/06,329000,2621750672,Single Family,4,2.5,1850,10333,2004
8251,3/22/10,260000,2621760240,Single Family,3,2,1570,7669,1997
8252,5/12/06,395950,2621760480,Single Family,4,2.5,2350,8182,1997
8253,6/21/06,365000,2622029040,Single Family,1,0.75,704,22676,1947
8254,5/8/13,314950,2622059197,Single Family,4,2.5,2420,8404,2013
8255,6/20/07,2490000,2623039042,Single Family,4,3,3920,18588,2004
8256,3/10/08,560000,2623069067,Single Family,3,2.5,2460,138085,1977
8257,8/15/10,290000,2623089103,Single Family,2,1,1210,130244,1978
8258,12/6/06,725000,2623089104,Single Family,4,2.5,2880,80150,2000
8259,11/4/08,495000,2623089141,Single Family,4,2.5,2250,50155,1998
8260,7/24/12,237000,2624000070,Single Family,3,1.75,1410,10506,1962
8261,5/6/11,440520,2624039133,Single Family,3,1.75,1720,5899,1986
8262,2/27/06,413700,2624049013,Single Family,3,2,1190,4850,1947
8263,5/9/06,310500,2624049060,Single Family,5,2,2130,6192,1921
8264,1/12/07,340000,2624049060,Single Family,5,2,2130,6192,1921
8265,4/17/06,300000,2624049065,Single Family,1,1,680,6300,1919
8266,6/16/06,286000,2624049081,Single Family,2,1,980,3080,1941
8267,12/12/07,380000,2624049101,Single Family,2,1,1320,4160,1925
8268,6/21/11,380000,2624049103,Single Family,2,1,1250,4576,1925
8269,9/1/06,450000,2624049165,Single Family,3,1.75,1580,11750,1951
8270,4/17/12,310000,2624049169,Single Family,3,1.5,1890,6183,1967
8271,11/20/08,480000,2624049175,Single Family,2,1,2120,9300,1952
8272,5/30/06,514000,2624049194,Single Family,3,1.75,2110,5445,1960
8273,6/27/06,375400,2624089022,Single Family,3,2.25,1560,11997,1988
8274,6/11/09,610000,2624089099,Single Family,4,2.5,2640,42708,1999
8275,6/24/08,1240000,2624089101,Single Family,4,3,4240,111009,2007
8276,9/5/06,375000,2624089134,Single Family,4,2.75,4780,435896,2007
8277,6/19/07,498500,2624089181,Single Family,4,2.75,1790,47250,1987
8278,10/2/06,1239400,2624089187,Single Family,4,4.25,4580,435931,2005
8279,4/25/07,840000,2624300100,Single Family,4,2.5,3050,27750,1980
8280,7/16/07,589950,2624780050,Single Family,3,2.5,2790,5035,2007
8281,6/6/06,600000,2625059114,Single Family,2,2,2510,26276,1959
8282,11/18/13,699900,2625059301,Single Family,4,3.25,2610,3889,2013
8283,6/27/06,1440000,2625069014,Single Family,4,5,5250,215039,1978
8284,5/4/07,639000,2625069023,Single Family,3,1,1170,427746,1973
8285,7/27/09,570000,2625069028,Single Family,4,2.5,2450,54619,1988
8286,7/26/11,485000,2625079037,Single Family,4,3.5,3105,47916,2005
8287,3/6/07,503675,2626059045,Single Family,3,1.75,2130,36396,1952
8288,12/3/12,1890000,2626069030,Single Family,4,5.75,7220,223462,2000
8289,6/30/10,188000,2634500050,Single Family,2,1,840,7870,1949
8290,6/9/06,432000,2636900066,Single Family,3,2,2380,9742,1950
8291,10/10/06,408000,2636900146,Single Family,4,2,2210,7503,1943
8292,2/9/06,412000,2641400060,Single Family,4,2.5,2260,6719,1995
8293,6/16/09,335000,2641400430,Single Family,3,2.25,1720,10287,1995
8294,4/27/11,235000,2641400590,Single Family,4,2.5,1800,6554,1995
8295,5/22/06,260000,2641800090,Single Family,3,1,1350,8575,1957
8296,9/28/06,415000,2644300005,Single Family,4,2.5,1900,9075,1988
8297,10/29/07,400000,2644300005,Single Family,4,2.5,1900,9075,1988
8298,2/11/09,490000,2644300043,Single Family,4,2.5,2120,6260,2008
8299,9/15/06,343000,2644300045,Single Family,4,1.5,1530,8182,1954
8300,3/7/08,335000,2644900070,Single Family,3,1.5,1130,9730,1947
8301,11/13/06,399950,2644900110,Single Family,3,1.75,1530,10300,1978
8302,3/15/06,310000,2644900180,Single Family,3,1.5,1400,9750,1967
8303,6/16/06,350000,2645500013,Single Family,3,1,1480,7284,1963
8304,4/18/08,294000,2648000066,Single Family,4,2,2610,10300,1947
8305,10/10/06,263720,2648000071,Single Family,4,1.75,1420,10300,1950
8306,8/1/06,160000,2648000110,Single Family,2,1,770,6292,1948
8307,2/15/07,2450000,2649500185,Single Family,5,3.75,4290,8925,2006
8308,10/2/07,435000,2651100070,Single Family,3,1,1220,7425,1968
8309,5/30/07,399950,2651100160,Single Family,4,2,1370,8755,1969
8310,6/26/06,735000,2652500015,Single Family,3,2.25,1620,4500,1926
8311,6/8/07,480000,2652500045,Single Family,2,1,730,3600,1915
8312,6/13/08,605000,2652500070,Single Family,2,1.75,1230,3600,1925
8313,8/25/06,569000,2652500190,Single Family,4,2,1980,3600,1914
8314,10/25/06,985000,2652500300,Single Family,4,3.75,2930,3200,1925
8315,6/30/06,729000,2652500740,Single Family,4,2.25,2190,4080,1918
8316,8/11/06,545000,2652501330,Single Family,4,2,2390,4800,1917
8317,12/28/12,270000,2652501330,Single Family,4,2,2390,4800,1917
8318,1/3/06,390000,2652501470,Single Family,3,3,3240,3600,2008
8319,3/20/07,531000,2652501630,Single Family,3,1.5,1410,3600,1906
8320,6/23/06,869000,2652501860,Single Family,3,1.5,1530,3510,1907
8321,6/23/06,560000,2652501915,Single Family,3,1,1360,3150,1906
